,CASEID,SURV_LANG,FITIN,FRIEND1,FRIEND2,FRIEND3,FRIEND4_1,FRIEND4_2,FRIEND4_3,FRIEND4_4,FRIEND4_5,FRIEND4_6,FRIEND5,FRIEND6_1,FRIEND6_2,FRIEND6_3,FRIEND6_4,FRIEND6_5,FRIEND6_6,FRIEND6_7,DEVICEA,DEVICEB,DEVICEC,DEVICED,HOMEWORKA,HOMEWORKB,HOMEWORKC,INTREQ,GAMING,SNS1_1,SNS1_2,SNS1_3,SNS1_4,SNS1_5,SNS1_6,SNS1_7,SNS1_8,SNS2,SOC1,SOC1A_GOOD_1,SOC1A_GOOD_2,SOC1A_GOOD_3,SOC1A_GOOD_4,SOC1A_GOOD_5,SOC1A_GOOD_6,SOC1A_GOOD_7,SOC1A_BAD_1,SOC1A_BAD_2,SOC1A_BAD_3,SOC1A_BAD_4,SOC1A_BAD_5,SOC1A_BAD_6,SOC1A_BAD_7,SOC1A_OTHER,SOC1A_DK_REF,POST1A,POST1B,POST1C,POST1D,POST1E,POST2_1,POST2_2,POST2_3,POST2_4,POST2_5,POST2_6,POST2_7,POST2_8,SOC2POSA,SOC2POSB,SOC2POSC,SOC2POSD,SOC2NEGA,SOC2NEGB,SOC2NEGC,SOC2NEGD,SOC4A,SOC4B,SOC4C,SOC4D,SOC5A,SOC5B,SOC5C,SOC6,SOC7_1,SOC7_2,SOC7_3,SOC7_4,SOC7_5,SOC7_6,SOCEXPA,SOCEXPB,SOCEXPC,SOCEXPD,WORRYA,WORRYB,WORRYC,LIMITA,LIMITB,LIMITC,CELL1_1,CELL1_2,CELL1_3,CELL1_4,CELL1_5,CELL1_6,CELL2A,CELL2B,CELL2C,CELL2D,CELL3A,CELL3B,CELL3C,DISTRACT,GROUP1,GROUP2_1,GROUP2_2,GROUP2_3,GROUP2_4,GROUP2_5,GROUP2_6,GROUP2_7,GROUP2_8,GROUP2_9,GROUP2_10,GROUP2_11,GROUP3A,GROUP3B,GROUP3C,GROUP3D,OH1A,OH1B,OH1C,OH1D,OH2A,OH2B,OH2C,OH2D,OH2E,OH2F,OH3_1,OH3_2,OH3_3,OH3_4,OH3_5,OH3_6,OH3_7,GUN1,GUN2A,GUN2B,GUN2C,GUN2D,GUN2E,GENDER,AGE,P_EDUC,RACETHNICITY,HOME_TYPE,HOUSING,INCOME,INTERNET,PHONESERVICE,METRO,REGION4,HHSIZE,HH01,HH25,HH612,HH1317,HH18OV,CO_DATE,DURATION,SURV_MODE,MODE_END,DEVICE,WEIGHT
14,39,,2,3,2,2,0,0,0,0,1,0,3,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,2,1,1,4,4,4,2,1,0,1,1,0,1,0,0,0,3.0,3,,,,,,,,,,,,,,,,,3,4.0,3.0,3.0,4.0,1,0,0,0,0,0,0,0,3,3,3,3,3,3,3.0,3,2.0,2.0,1.0,2.0,3,1,4,2,1.0,1.0,1.0,0.0,1.0,0.0,3,3,3,3,3,2,3,1,1,2.0,0,0,0,0,0,1,3,2,1,3,3.0,2.0,3.0,4.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,2.0,2,1,1,1,4,4,4,2,4,2,0,0,0,0,0,0,1,3,2,3,2,1,1,2.0,17,11.0,1.0,3,2,11,1,4,1,3,4,0,0,0,2,2,20180316,12.98333333,2,2,,0.216563638
15,46,,1,3,2,3,0,0,1,1,1,0,2,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,2,1,1,4,4,4,1,1,1,1,1,1,1,0,0,0,3.0,3,,,,,,,,,,,,,,,,,2,3.0,3.0,3.0,4.0,1,1,0,0,0,0,0,0,3,2,2,3,3,3,3.0,2,1.0,1.0,2.0,1.0,3,4,3,3,,,,,,,1,2,1,2,1,1,2,2,2,2.0,0,0,0,0,0,1,2,1,2,3,3.0,1.0,3.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,3.0,2.0,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,1,4,1,2,2,1,2,1.0,16,12.0,1.0,1,1,5,1,2,0,2,5,0,1,0,1,3,20180308,29.43333333,2,2,,0.36514502
16,65,,1,1,2,3,0,0,0,1,0,0,2,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1,2,1,1,4,3,4,2,1,0,0,0,0,1,0,0,0,,2,,,,,,,,,,1.0,,,,,,,3,3.0,4.0,4.0,4.0,0,0,0,0,0,0,0,1,2,2,2,3,3,3,3.0,3,1.0,1.0,2.0,1.0,3,4,4,3,,,,,,,2,2,1,1,3,2,3,2,1,2.0,0,0,1,0,0,0,2,2,2,3,3.0,3.0,4.0,3.0,4.0,,,,,,,,,,,,,,,,2,3,2,2,3,2,2,1,4,3,0,0,0,0,0,0,1,3,1,1,2,1,1,1.0,16,11.0,2.0,1,2,12,0,2,1,3,6,0,0,3,2,3,20180406,13.11666667,2,2,,0.248300731
17,66,,1,2,1,2,1,1,0,1,0,0,2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,1,1,1,4,4,4,1,1,0,1,1,1,1,0,0,0,4.0,2,,,,,,,,1.0,,,,,,,,,1,4.0,1.0,2.0,4.0,0,0,0,0,0,0,1,0,2,2,1,2,3,1,2.0,2,2.0,1.0,2.0,1.0,3,3,2,3,,,,,,,1,3,1,1,1,1,3,1,1,1.0,0,0,1,0,0,0,1,2,1,4,2.0,1.0,4.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,1,1,1,1,4,3,3,1,1,2,0,0,0,0,1,0,0,2,1,2,1,1,1,1.0,14,12.0,1.0,1,1,14,1,2,0,2,4,0,0,1,1,2,20180307,16.31666667,2,2,,0.376143566
18,70,,1,1,1,1,0,0,0,0,0,1,4,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1,2,1,1,4,3,3,2,1,1,1,0,1,0,0,0,0,4.0,3,,,,,,,,,,,,,,,,,4,2.0,2.0,3.0,3.0,1,0,0,0,0,0,0,0,2,2,2,2,3,2,2.0,2,1.0,2.0,1.0,1.0,2,3,4,3,,,,,,,2,3,3,1,3,3,1,2,2,1.0,1,0,0,0,0,0,1,2,1,3,2.0,1.0,2.0,3.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,1,1,1,2,3,3,3,3,4,3,0,1,1,0,0,0,0,3,1,4,4,1,2,1.0,15,14.0,1.0,1,1,15,1,2,1,2,4,0,0,1,1,2,20180324,11.26666667,2,2,,1.394191275
19,76,,1,2,2,3,1,1,1,0,0,0,3,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1,2,1,1,4,3,4,2,1,1,1,0,1,1,0,0,0,4.0,2,,,,,,,,,,,,,,,,99.0,3,4.0,4.0,2.0,4.0,0,0,0,0,0,0,0,1,1,2,1,2,2,1,3.0,2,2.0,1.0,1.0,1.0,2,3,2,3,,,,,,,2,1,1,3,3,3,2,1,1,2.0,0,0,0,1,0,0,1,1,1,3,3.0,1.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,2.0,1,1,1,1,4,3,4,2,4,4,0,0,0,0,0,1,0,3,3,4,2,3,2,1.0,15,13.0,1.0,1,1,17,1,3,1,1,4,0,0,1,1,2,20180308,12.16666667,2,2,,0.91888278
20,77,,2,1,1,3,1,1,0,1,1,0,2,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1,2,1,1,4,3,4,2,1,0,1,0,1,1,0,0,0,4.0,3,,,,,,,,,,,,,,,,,2,2.0,2.0,3.0,2.0,1,0,1,0,1,0,1,0,2,2,2,2,3,2,2.0,2,2.0,1.0,2.0,1.0,2,3,3,3,,,,,,,77,4,77,3,3,1,3,2,1,1.0,1,1,0,1,0,0,2,2,2,4,1.0,3.0,4.0,3.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,3.0,3.0,3.0,2.0,1,1,1,1,2,2,2,2,2,2,0,0,0,0,0,0,1,3,1,2,4,1,1,1.0,13,13.0,1.0,1,1,12,1,2,1,1,5,1,0,2,0,2,20180309,12.05,2,2,,0.805954038
21,79,,2,3,3,3,0,0,0,0,0,1,3,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,0,6.0,2,,,,,,,,,,,,1.0,,,,,2,4.0,1.0,3.0,4.0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1.0,1,1.0,1.0,2.0,1.0,2,1,3,3,,,,,,,2,1,1,1,1,1,1,1,1,1.0,1,1,0,0,1,0,2,1,1,2,1.0,1.0,1.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,3.0,2,1,2,2,2,2,1,1,1,1,0,1,0,0,1,0,0,2,1,1,1,1,1,1.0,16,11.0,1.0,1,1,14,1,2,1,1,4,0,0,1,1,2,20180406,4.066666667,2,2,,2.317379182
22,80,,1,1,1,1,0,0,0,0,0,1,2,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1,2,1,1,4,2,3,1,1,0,1,0,1,1,0,0,0,4.0,3,,,,,,,,,,,,,,,,,3,2.0,4.0,2.0,2.0,0,0,1,0,0,0,0,0,2,1,2,2,3,3,3.0,3,1.0,1.0,2.0,1.0,98,98,98,4,,,,,,,77,77,1,3,1,3,3,2,1,1.0,0,0,0,1,0,0,1,1,1,3,4.0,4.0,3.0,4.0,4.0,,,,,,,,,,,,,,,,3,3,3,3,3,2,3,2,3,2,0,0,0,0,0,0,1,2,2,4,4,4,3,1.0,15,14.0,2.0,2,2,6,1,2,1,3,4,0,0,2,1,1,20180316,15.95,2,2,,0.22779623
24,82,,1,2,1,3,0,0,1,1,1,0,4,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1,2,2,1,4,2,4,2,2,0,0,0,0,1,0,0,0,,3,,,,,,,,,,,,,,,,,3,2.0,1.0,2.0,4.0,1,0,0,0,0,0,1,0,1,2,1,1,3,3,1.0,2,1.0,1.0,2.0,1.0,3,4,4,4,,,,,,,1,3,3,1,3,3,,1,1,,1,0,0,0,0,0,2,2,2,2,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,2.0,1,1,1,2,3,3,2,1,3,2,0,0,0,0,0,0,1,2,2,3,3,2,1,2.0,13,13.0,4.0,1,1,14,1,4,1,3,6,0,1,2,1,2,20180309,10.08333333,2,2,,0.399202124
26,88,,2,1,1,3,0,0,0,1,0,0,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1,1,1,1,2,1,1,1,1,1,1,1,1,0,0,0,3.0,3,,,,,,,,,,,,,,,,,2,1.0,1.0,1.0,1.0,1,1,1,1,1,1,1,0,3,2,2,2,1,1,2.0,1,2.0,2.0,2.0,2.0,3,2,2,2,1.0,0.0,0.0,1.0,0.0,0.0,3,3,3,3,1,1,3,1,1,1.0,1,0,0,0,0,0,3,2,2,2,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,1,1,1,1,3,3,2,3,3,3,1,1,1,1,1,1,0,3,3,3,3,3,3,2.0,14,9.0,4.0,1,2,2,1,2,0,2,6,0,0,3,1,2,20180311,5.766666667,2,2,,1.380668644
27,90,,1,3,1,3,0,0,0,1,1,0,3,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,2,1,1,4,1,4,1,1,0,1,1,1,1,0,0,0,4.0,3,,,,,,,,,,,,,,,,,2,4.0,3.0,2.0,3.0,1,1,1,0,1,0,1,0,2,2,3,1,2,3,3.0,3,2.0,2.0,2.0,2.0,2,3,1,2,1.0,0.0,1.0,1.0,1.0,0.0,1,3,1,1,1,1,3,1,1,1.0,1,0,1,0,1,0,3,3,3,3,2.0,1.0,3.0,2.0,3.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,3.0,3.0,3.0,3.0,1,1,1,2,2,4,4,2,4,3,1,0,0,0,1,1,0,2,1,1,2,1,3,1.0,17,10.0,4.0,1,1,11,1,4,1,3,6,1,2,0,1,2,20180317,10.46666667,2,2,,1.464134579
28,91,,1,2,4,3,1,1,0,1,1,0,2,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1,2,1,1,4,4,4,3,2,0,0,0,0,1,0,0,0,,3,,,,,,,,,,,,,,,,,4,4.0,4.0,4.0,4.0,0,0,0,0,0,0,0,1,3,3,3,3,2,2,2.0,2,2.0,2.0,2.0,1.0,1,1,1,2,1.0,1.0,0.0,0.0,1.0,0.0,77,77,77,77,2,2,,1,1,,1,1,0,0,0,0,3,2,1,2,1.0,1.0,4.0,2.0,4.0,,,,,,,,,,,,,,,,1,1,2,2,4,4,3,2,4,4,1,0,1,1,1,1,0,2,1,2,4,1,2,2.0,16,10.0,1.0,1,2,10,1,2,1,2,6,1,2,3,0,2,20180309,8.416666667,2,2,,0.242952103
29,92,,1,4,4,2,0,0,0,1,0,0,1,,,,,,,,1,2,1,1,3,3,3,1,1,0,0,0,1,1,0,0,0,5.0,3,,,,,,,,,,,,,,,,,4,2.0,3.0,4.0,2.0,0,0,1,0,0,1,0,0,3,1,3,2,3,3,3.0,3,1.0,1.0,2.0,1.0,3,4,4,4,,,,,,,1,2,1,2,1,2,1,1,1,1.0,0,1,0,0,0,0,3,2,1,2,1.0,2.0,2.0,2.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,2.0,2.0,1,1,1,2,2,3,2,2,2,3,0,0,0,0,0,0,1,1,1,1,4,1,1,1.0,17,12.0,4.0,2,2,6,1,4,1,2,3,0,0,1,1,1,20180320,20.7,1,1,,0.495863223
30,94,,1,1,3,3,0,0,1,0,0,0,2,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1,1,1,1,2,4,2,2,1,0,0,0,1,1,0,0,0,5.0,1,,,,,,,,,1.0,,,,,,,,4,2.0,4.0,2.0,4.0,1,0,1,1,0,0,0,0,2,2,2,1,2,1,3.0,2,2.0,2.0,1.0,2.0,4,1,4,1,1.0,0.0,1.0,0.0,1.0,0.0,3,4,4,3,1,3,3,2,1,1.0,1,0,1,0,0,0,3,2,1,1,3.0,1.0,4.0,3.0,4.0,,,,,,,,,,,,,,,,1,1,2,2,4,3,1,1,1,3,1,0,0,0,0,0,0,1,4,1,4,4,1,2.0,13,10.0,1.0,1,2,3,1,4,1,2,4,0,0,0,2,2,20180322,22.15,1,1,,0.146495482
33,105,,2,2,1,3,0,0,0,0,1,0,3,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1,1,1,1,4,2,4,2,1,1,1,0,1,1,0,1,0,4.0,3,,,,,,,,,,,,,,,,,4,4.0,2.0,2.0,4.0,1,1,0,0,0,0,1,0,1,1,1,1,3,2,1.0,1,1.0,2.0,2.0,1.0,1,4,1,2,1.0,1.0,0.0,1.0,1.0,0.0,1,4,1,1,1,1,1,1,1,1.0,1,0,0,0,0,0,2,1,1,1,2.0,2.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,1,1,1,1,4,4,4,4,3,3,0,0,1,0,0,0,0,3,1,1,4,1,2,1.0,16,11.0,4.0,1,1,10,1,2,1,4,6,0,0,0,1,5,20180320,15.53333333,1,1,,1.085557863
34,109,,2,3,1,2,0,1,1,0,1,0,2,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1,2,1,1,4,2,3,2,1,0,1,0,1,1,0,0,0,4.0,3,,,,,,,,,,,,,,,,,3,2.0,2.0,2.0,4.0,1,0,1,0,0,0,0,0,2,2,2,2,3,3,2.0,2,1.0,1.0,2.0,1.0,2,3,2,3,,,,,,,2,2,1,2,3,3,3,2,1,1.0,1,0,0,0,0,0,2,2,1,3,2.0,1.0,3.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,2,2,2,2,2,3,2,2,3,3,0,0,0,0,0,0,1,3,1,1,3,1,1,2.0,15,14.0,1.0,1,1,14,1,4,1,3,4,0,0,0,1,3,20180308,8.916666667,2,2,,0.75847107
